DESC_PROVEEDOR,LLAVE_PRODUCTO,COD_PRODUCTO,DESCRIPCION_PRODUCTO,GRUPO,DIVISION,LINEA,SUBLINEA,CATEGORIA,SUBCATEGORIA,FAMILIA,FECHA_CREACION,FECHA_MODIFICACION,DW_HASH,ID_GRUPO,ID_DIVISION,ID_LINEA,ID_SUBLINEA,ID_CATEGORIA,ID_SUBCATEGORIA,ID_FAMILIA,ID_PROVEEDOR,PRODUCTO_CORBETA
ALEJANDRO SEPULVEDA VERGARA,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
ALEXANDER PARDO RODRIGUEZ,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ALFA PLANTAS Y MONTAJES SAS,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ALFA TRADING SAS,31,31,31,31,31,31,31,31,0,0,31,27,31,31,31,31,31,31,0,0,31,31
ALFREDO BERNAL LONDONO,32,32,32,32,32,32,32,32,0,0,32,32,32,32,32,32,32,32,0,0,32,32
ALGABO,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ALGARRA,5,5,5,5,5,5,5,5,0,0,0,5,5,5,5,5,5,5,0,0,5,5
ALIANZA Y PROGRESO SAS,34,34,34,34,34,34,34,34,0,0,34,34,34,34,34,34,34,34,0,0,34,34
ALIANZAS Y O INDUSTRIAS ALTA PUREZA S.A.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ALIANZZA LIMITADA,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ALICIA DEL SOCORRO DAVILA CABRERA,34,34,34,34,34,34,34,34,0,0,34,34,34,34,34,34,34,34,0,0,34,34
ALICORP S.A.A.,2,2,2,2,2,2,2,2,0,0,2,0,2,2,2,2,2,2,0,0,2,2
ALICORP SAS,9,9,9,9,9,9,9,9,0,0,9,9,9,9,9,9,9,9,0,0,9,9
ALIMENTOS DEL VALLE S.A.,22,22,22,22,22,22,22,22,0,0,22,22,22,22,22,22,22,22,0,0,22,22
ALIMENTOS DELCOP SAS,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,0,0,5,5
ALIMENTOS EN CONSERV,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1
ALIMENTOS GUISASON DE COLOMBIA S A,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1
ALIMENTOS LA CALI S.A.,51,51,51,51,51,51,51,51,0,0,51,51,51,51,51,51,51,51,0,0,51,51
ALIMENTOS LLA POLAR,22,22,22,22,22,22,22,22,0,0,10,22,22,22,22,22,22,22,0,0,22,22
ALIMENTOS LORENZANO S.A.S,77,77,77,77,77,77,77,77,0,0,77,77,77,77,77,77,77,77,0,0,77,77
ALIMENTOS NAPOLI S.A.S.,9,9,9,9,9,9,9,9,0,0,9,9,9,9,9,9,9,9,0,0,9,9
ALIMENTOS NARIO S.A.,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
ALIMENTOS NUTRION S A,20,20,20,20,20,20,20,20,0,0,19,16,20,20,20,20,20,20,0,0,19,20
